#{"t_start": 1683721653.649745, "env_id": null}
r,l,t
-5.099997,100,0.68948
-5.0,100,0.884462
-5.060138,100,1.076043
-4.35804,100,1.271901
-5.4,100,1.471862
-5.199972,100,1.687038
-5.3,100,2.021082
-4.8,100,2.227988
-5.8,100,2.430754
-5.6,100,2.631806
-4.401449,100,3.550913
-5.1,100,3.776764
-4.9,100,4.023934
-5.899994,100,4.226127
-5.182961,100,4.449023
-5.4,100,4.664783
-3.806871,100,4.882599
-5.399991,100,5.079222
-4.187722,100,5.281616
-3.820171,100,5.594802
-4.492706,100,9.092434
-4.741092,100,9.301264
-4.6,100,9.509854
-4.579318,100,9.706115
-3.722818,100,9.907595
-3.999184,100,10.117336
-5.1,100,10.334288
-4.294947,100,10.537985
-4.6,100,10.740576
-4.7,100,10.959313
-4.789775,100,11.256478
-3.83191,100,11.462952
-4.794657,100,11.671768
-3.963481,100,11.885702
-4.7,100,12.098512
-3.882568,100,12.304183
-4.51544,100,12.527819
-4.999992,100,12.719135
-4.73893,100,12.913069
-4.4,100,13.173074
-4.202153,100,15.843483
-4.2,100,16.048741
-3.827355,100,16.251894
-3.859354,100,16.458309
-4.1,100,16.657162
-4.099995,100,16.861095
-3.282935,100,17.054125
-2.750407,100,17.247444
-3.6,100,17.444942
-3.4,100,17.659261
-3.4,100,17.966712
-3.3,100,18.156322
-3.799963,100,18.359214
-3.7,100,18.557281
-3.5,100,18.776024
-4.29975,100,19.006045
-3.806265,100,19.233307
-2.848223,100,19.445419
-3.9,100,19.64489
-3.4,100,19.847084
-4.2,100,20.221777
-3.5,100,22.813961
-3.6,100,23.022929
-3.5,100,23.230214
-3.2,100,23.419493
-3.0,100,23.626656
-2.65811,100,23.883614
-3.4,100,24.103773
-2.922117,100,24.318424
-2.758209,100,24.519264
-3.7,100,24.812528
-2.0,100,25.021024
-3.1,100,25.216972
-2.574927,100,25.417977
-3.199833,100,25.614279
-3.895368,100,25.821287
-3.699349,100,26.022235
-2.299999,100,26.219586
-2.7,100,26.43185
-2.8,100,26.667571
-2.8,100,26.944463
-3.7,100,29.536933
-2.3,100,29.727075
-1.636465,100,29.939597
-2.013038,100,30.134422
-2.9,100,30.33518
-1.211228,100,30.571853
-2.089922,100,30.779107
-2.244654,100,30.983692
-3.0,100,31.249353
-2.7,100,31.517375
-2.9,100,31.714959
-2.9,100,31.919227
-2.297469,100,32.117121
-1.973691,100,32.309292
-2.4,100,32.514907
-2.097649,100,32.75326
-3.299514,100,32.951678
-2.0,100,33.158488
-2.5,100,33.407222
-2.396767,100,33.654863
-2.418434,100,33.898439
-0.299997,100,37.180106
-0.2,100,37.347245
-0.260138,100,37.505706
0.14196,100,37.661622
-0.3,100,37.861115
-0.299999,100,38.040792
-0.3,100,38.231454
-0.3,100,38.407603
-0.2,100,38.580826
-0.3,100,38.74979
